number,date,player1,player2,player3,note,url,id,season
191,1985-06-03,Michael Backus,Penny DeMille,Ron Tropsic,Airdate approximate.,http://www.j-archive.com/showgame.php?game_id=5636,5636,1
160,1985-04-19,Matt Hubbard,Bruce Rhodewalt,Rick Sinclair,,http://www.j-archive.com/showgame.php?game_id=5525,5525,1
153,1985-04-10,Mike Day,Monte Wasch,Mimi Schmidt,Mike Day game 2.,http://www.j-archive.com/showgame.php?game_id=4529,4529,1
141,1985-03-25,Steve Rogitz,Lonny Gulden,Debbi Holzinger,Steve Rogitz game 2.,http://www.j-archive.com/showgame.php?game_id=5120,5120,1
138,1985-03-20,Paula Tupper,Rich Perloff,Sheree Nelson,Paula Tupper game 4.,http://www.j-archive.com/showgame.php?game_id=5587,5587,1
126,1985-03-04,Bruce Fauman,Yvonne Buchanan,Bob Boed,Bruce Fauman game 3.,http://www.j-archive.com/showgame.php?game_id=4592,4592,1
110,1985-02-08,Tony Hess,Pat Gaynor,Ted Brown,,http://www.j-archive.com/showgame.php?game_id=368,368,1
84,1985-01-03,Liz Caccese,Pam Linden-Dernham,Bob Mette,Liz Caccese game 4.,http://www.j-archive.com/showgame.php?game_id=5018,5018,1
81,1984-12-31,Phil Wilson,Liz Caccese,Mike Pick,Liz Caccese game 1.,http://www.j-archive.com/showgame.php?game_id=5544,5544,1
80,1984-12-28,Jerry Frankel,Emmett Maguire,Jody Johnston,Jerry Frankel game 5.,http://www.j-archive.com/showgame.php?game_id=5009,5009,1
77,1984-12-25,Jerry Frankel,Fran,Michael,"Jerry Frankel game 2. Missing introductions, J! round and first...",http://www.j-archive.com/showgame.php?game_id=5012,5012,1
70,1984-12-14,Chris Hamilton,Melinda Brownfield,Bill Hand,,http://www.j-archive.com/showgame.php?game_id=4249,4249,1
68,1984-12-12,Ric Moser,Pat Hansen,Ralph Moore,Ric Moser game 4.,http://www.j-archive.com/showgame.php?game_id=363,363,1
67,1984-12-11,Ric Moser,Dale Barnes,Hal Akerman,Ric Moser game 3.,http://www.j-archive.com/showgame.php?game_id=362,362,1
66,1984-12-10,Ric Moser,Brian Perachet,Linda Rogers,Ric Moser game 2.,http://www.j-archive.com/showgame.php?game_id=361,361,1
65,1984-12-07,Jay Mann,Amy Phillips,Ric Moser,Ric Moser game 1.,http://www.j-archive.com/showgame.php?game_id=360,360,1
64,1984-12-06,Warren Pistell,Eva Rosenberg,Jay Mann,,http://www.j-archive.com/showgame.php?game_id=359,359,1
63,1984-12-05,Daniel Elias,Denice Fractious,Warren Pistell,,http://www.j-archive.com/showgame.php?game_id=356,356,1
62,1984-12-04,Daniel Elias,Mary Mason,Richard Landon,,http://www.j-archive.com/showgame.php?game_id=355,355,1
61,1984-12-03,Leslie Stucke,Daniel Elias,Nicholas Vallas,,http://www.j-archive.com/showgame.php?game_id=354,354,1
59,1984-11-29,Mark Loundy,Tom McGinn,Nancy Burns,,http://www.j-archive.com/showgame.php?game_id=353,353,1
58,1984-11-28,Mark Loundy,Alice Strauss,Don Clark,,http://www.j-archive.com/showgame.php?game_id=352,352,1
57,1984-11-27,Richard Landon,Elaine Baker,Mark Loundy,,http://www.j-archive.com/showgame.php?game_id=348,348,1
56,1984-11-26,Richard Landon,Leland Kennedy,Sara Maikowski,,http://www.j-archive.com/showgame.php?game_id=347,347,1
21,1984-10-08,Joel Davidman,Kevin Conway,Diane McCain,,http://www.j-archive.com/showgame.php?game_id=5244,5244,1
20,1984-10-05,Elise Beraru,Richard Bolton,Stan Ravinsky,Elise Beraru game 5.,http://www.j-archive.com/showgame.php?game_id=5238,5238,1
19,1984-10-04,Elise Beraru,Perry Buck,Peggy Hesketh,Elise Beraru game 4.,http://www.j-archive.com/showgame.php?game_id=5243,5243,1
18,1984-10-03,Elise Beraru,Roger Gerhardstein,Margaret Magnus,Elise Beraru game 3.,http://www.j-archive.com/showgame.php?game_id=5237,5237,1
17,1984-10-02,Elise Beraru,Bill Collins,Mark Day,Elise Beraru game 2.,http://www.j-archive.com/showgame.php?game_id=5236,5236,1
16,1984-10-01,Larry Caplan,Don Cameron,Elise Beraru,Elise Beraru game 1.,http://www.j-archive.com/showgame.php?game_id=5235,5235,1
15,1984-09-28,Larry Caplan,Louise Balabanian,Norm Cobb,,http://www.j-archive.com/showgame.php?game_id=5234,5234,1
14,1984-09-27,Ed Osawa,Karen Olson,Larry Caplan,,http://www.j-archive.com/showgame.php?game_id=345,345,1
13,1984-09-26,Ed Osawa,Deborah Kelly,Ben Camack,,http://www.j-archive.com/showgame.php?game_id=344,344,1
12,1984-09-25,Mary Bowers,Randy Haplan,Ed Osawa,,http://www.j-archive.com/showgame.php?game_id=341,341,1
11,1984-09-24,Eric Grove,Mary Bowers,Dan Fuller,,http://www.j-archive.com/showgame.php?game_id=340,340,1
10,1984-09-21,Lynn Strather,Eric Grove,Clare Delaman,,http://www.j-archive.com/showgame.php?game_id=339,339,1
9,1984-09-20,Richard Willing,Lynn Strather,Craig Hendricks,,http://www.j-archive.com/showgame.php?game_id=338,338,1
5,1984-09-14,Larry Silverman,Lorrie Farrely,Howard Wilson,Fifth episode.,http://www.j-archive.com/showgame.php?game_id=180,180,1
4,1984-09-13,Nancy Teri,Larry Silverman,Denise Stewart,Fourth episode.,http://www.j-archive.com/showgame.php?game_id=179,179,1
3,1984-09-12,Gunther Murley,Nancy Teri,"Michael Ellington, Jr.",Third episode.,http://www.j-archive.com/showgame.php?game_id=177,177,1
2,1984-09-11,Greg Hopkins,Lynne Crawford,Paul Schaffer,Second episode. Three-way tie at zero.,http://www.j-archive.com/showgame.php?game_id=174,174,1
1,1984-09-10,Greg Hopkins,Lois Feinstein,Frank Selevan,Premiere episode with Alex Trebek as host.,http://www.j-archive.com/showgame.php?game_id=173,173,1
2286,1994-07-11,Joe Clonick,Diane Dowden,Penny Evans,1994 Senior Tournament quarterfinal game 1.,http://www.j-archive.com/showgame.php?game_id=6094,6094,10
2251,1994-05-23,Pat Allen,Gregg Gendiellee,Larry Shackley,,http://www.j-archive.com/showgame.php?game_id=3050,3050,10
2246,1994-05-16,Chris Goheen,Erhard Konerding,Lauren Krohn,Final Jeopardy! round responses unknown.,http://www.j-archive.com/showgame.php?game_id=6058,6058,10
2236,1994-05-02,Brooke Gallagher,Brian Johnson,John Sweeney,1994 College Championship quarterfinal game 1.,http://www.j-archive.com/showgame.php?game_id=3094,3094,10
2230,1994-04-22,John Hunt,Ken Frier,Jeff Jaech,,http://www.j-archive.com/showgame.php?game_id=5317,5317,10
