Player,MP,WS,Link,TotalMP,TotalWS,Year
Nick Anderson,1785,1.8,/players/a/anderni01.html,534760,1123.8,1989
Michael Ansley,1221,3.3,/players/a/anslemi01.html,534760,1123.8,1989
B.J. Armstrong,1291,1.7,/players/a/armstbj01.html,534760,1123.8,1989
Dana Barros,1630,1.8,/players/b/barroda01.html,534760,1123.8,1989
Kenny Battle,729,1.9,/players/b/battlke01.html,534760,1123.8,1989
Mookie Blaylock,1267,-0.3,/players/b/blaylmo01.html,534760,1123.8,1989
Chucky Brown,1339,2.2,/players/b/brownch01.html,534760,1123.8,1989
Stanley Brundy,128,0.2,/players/b/brundst01.html,534760,1123.8,1989
Vlade Divac,1611,5,/players/d/divacvl01.html,534760,1123.8,1989
Sherman Douglas,2470,4.4,/players/d/douglsh01.html,534760,1123.8,1989
Blue Edwards,1889,2.7,/players/e/edwarbl01.html,534760,1123.8,1989
Jay Edwards,26,0,/players/e/edwarja02.html,534760,1123.8,1989
Sean Elliott,2032,4.6,/players/e/elliose01.html,534760,1123.8,1989
Pervis Ellison,866,0.4,/players/e/ellispe01.html,534760,1123.8,1989
Greg Grant,678,-0.1,/players/g/grantgr01.html,534760,1123.8,1989
Scott Haffner,559,-0.1,/players/h/haffnsc01.html,534760,1123.8,1989
Tom Hammonds,805,0.5,/players/h/hammoto01.html,534760,1123.8,1989
Tim Hardaway,2663,3.3,/players/h/hardati01.html,534760,1123.8,1989
Ed Horton,374,0.4,/players/h/hortoed01.html,534760,1123.8,1989
Byron Irvin,488,1.2,/players/i/irvinby01.html,534760,1123.8,1989
Shawn Kemp,1120,2.1,/players/k/kempsh01.html,534760,1123.8,1989
Stacey King,1777,3.6,/players/k/kingst01.html,534760,1123.8,1989
Frank Kornet,438,0,/players/k/kornefr01.html,534760,1123.8,1989
Gary Leonard,127,0,/players/l/leonaga01.html,534760,1123.8,1989
Todd Lichti,1326,1.8,/players/l/lichtto01.html,534760,1123.8,1989
Roy Marble,162,-0.3,/players/m/marblro01.html,534760,1123.8,1989
Jeff Martin,1351,0.9,/players/m/martije01.html,534760,1123.8,1989
George McCloud,413,-0.7,/players/m/mccloge01.html,534760,1123.8,1989
Mike Morrison,153,-0.3,/players/m/morrimi01.html,534760,1123.8,1989
John Morton,402,-0.9,/players/m/mortojo01.html,534760,1123.8,1989
Dyron Nix,109,0,/players/n/nixdy01.html,534760,1123.8,1989
Kenny Payne,216,0,/players/p/payneke01.html,534760,1123.8,1989
Brian Quinnett,193,-0.1,/players/q/quinnbr01.html,534760,1123.8,1989
J.R. Reid,2757,1.1,/players/r/reidjr01.html,534760,1123.8,1989
Glen Rice,2311,1.4,/players/r/ricegl01.html,534760,1123.8,1989
Pooh Richardson,2581,4.4,/players/r/richapo01.html,534760,1123.8,1989
Clifford Robinson,1565,0.3,/players/r/robincl02.html,534760,1123.8,1989
Doug Roth,412,0.4,/players/r/rothdo01.html,534760,1123.8,1989
Jeff Sanders,182,-0.3,/players/s/sandeje01.html,534760,1123.8,1989
Michael Smith,620,0.7,/players/s/smithmi01.html,534760,1123.8,1989
Doug West,378,-0.1,/players/w/westdo01.html,534760,1123.8,1989
